     p4        x2         p5       p2

============= p4 = 6.0 =============
p4: 12.00, x2: 5.10, p5: 0.6262860, p2: 0.0384598
p4: 12.00, x2: 5.20, p5: 0.6031361, p2: 0.0367053
p4: 12.00, x2: 5.30, p5: 0.5805376, p2: 0.0350284
p4: 12.00, x2: 5.40, p5: 0.5584774, p2: 0.0334267
p4: 12.00, x2: 5.50, p5: 0.5369421, p2: 0.0318973
p4: 12.00, x2: 5.60, p5: 0.5159184, p2: 0.0304377
p4: 12.00, x2: 5.70, p5: 0.4953924, p2: 0.0290452
p4: 12.00, x2: 5.80, p5: 0.4753508, p2: 0.0277172
p4: 12.00, x2: 5.90, p5: 0.4557799, p2: 0.0264509
p4: 12.00, x2: 6.00, p5: 0.4366667, p2: 0.0252438
p4: 12.00, x2: 6.10, p5: 0.4179979, p2: 0.0240934
p4: 12.00, x2: 6.20, p5: 0.3997607, p2: 0.0229971
p4: 12.00, x2: 6.30, p5: 0.3819426, p2: 0.0219527
p4: 12.00, x2: 6.40, p5: 0.3645313, p2: 0.0209577
p4: 12.00, x2: 6.50, p5: 0.3475148, p2: 0.0200100
p4: 12.00, x2: 6.60, p5: 0.3308815, p2: 0.0191072
p4: 12.00, x2: 6.70, p5: 0.3146202, p2: 0.0182474
p4: 12.00, x2: 6.80, p5: 0.2987197, p2: 0.0174285
p4: 12.00, x2: 6.90, p5: 0.2831695, p2: 0.0166486
p4: 12.00, x2: 7.00, p5: 0.2679592, p2: 0.0159058
p4: 12.00, x2: 7.10, p5: 0.2530788, p2: 0.0151983
p4: 12.00, x2: 7.20, p5: 0.2385185, p2: 0.0145245
p4: 12.00, x2: 7.30, p5: 0.2242691, p2: 0.0138828
p4: 12.00, x2: 7.40, p5: 0.2103214, p2: 0.0132714
p4: 12.00, x2: 7.50, p5: 0.1966667, p2: 0.0126891
p4: 12.00, x2: 7.60, p5: 0.1832964, p2: 0.0121343
p4: 12.00, x2: 7.70, p5: 0.1702024, p2: 0.0116057
p4: 12.00, x2: 7.80, p5: 0.1573767, p2: 0.0111021
p4: 12.00, x2: 7.90, p5: 0.1448117, p2: 0.0106222
p4: 12.00, x2: 8.00, p5: 0.1325000, p2: 0.0101648
p4: 12.00, x2: 8.10, p5: 0.1204344, p2: 0.0097288
